2021-11-17 21:57:57 status installed libmagic-mgc:arm64 1:5.35-4+deb10u2
2021-11-17 21:57:57 configure libgsm1:arm64 1.0.18-2 <none>
2021-11-17 21:57:57 status unpacked libgsm1:arm64 1.0.18-2
2021-11-17 21:57:57 status half-configured libgsm1:arm64 1.0.18-2
2021-11-17 21:57:57 status installed libgsm1:arm64 1.0.18-2
2021-11-17 21:57:57 configure libx264-155:arm64 2:0.155.2917+git0a84d98-2 <none>
2021-11-17 21:57:57 status unpacked libx264-155:arm64 2:0.155.2917+git0a84d98-2
2021-11-17 21:57:58 status half-configured libx264-155:arm64 2:0.155.2917+git0a84d98-2
2021-11-17 21:57:58 status installed libx264-155:arm64 2:0.155.2917+git0a84d98-2
2021-11-17 21:57:58 configure libvisual-0.4-0:arm64 0.4.0-15 <none>
2021-11-17 21:57:58 status unpacked libvisual-0.4-0:arm64 0.4.0-15
2021-11-17 21:57:58 status half-configured libvisual-0.4-0:arm64 0.4.0-15
2021-11-17 21:57:58 status installed libvisual-0.4-0:arm64 0.4.0-15
2021-11-17 21:57:58 configure mendel-keyring:all 3-3 <none>
2021-11-17 21:57:58 status unpacked mendel-keyring:all 3-3
2021-11-17 21:57:58 status half-configured mendel-keyring:all 3-3
2021-11-17 21:57:58 status installed mendel-keyring:all 3-3
2021-11-17 21:57:58 configure distro-info-data:all 0.41+deb10u3 <none>
2021-11-17 21:57:58 status unpacked distro-info-data:all 0.41+deb10u3
2021-11-17 21:57:58 status half-configured distro-info-data:all 0.41+deb10u3
2021-11-17 21:57:58 status installed distro-info-data:all 0.41+deb10u3
2021-11-17 21:57:58 configure manpages:all 4.16-2 <none>
2021-11-17 21:57:58 status unpacked manpages:all 4.16-2
2021-11-17 21:57:58 status half-configured manpages:all 4.16-2
2021-11-17 21:57:58 status installed manpages:all 4.16-2
2021-11-17 21:57:58 configure liblz4-1:arm64 1.8.3-1 <none>
2021-11-17 21:57:58 status unpacked liblz4-1:arm64 1.8.3-1
2021-11-17 21:57:58 status half-configured liblz4-1:arm64 1.8.3-1
2021-11-17 21:57:58 status installed liblz4-1:arm64 1.8.3-1
2021-11-17 21:57:58 configure libglvnd0:arm64 1.1.0-1 <none>
2021-11-17 21:57:58 status unpacked libglvnd0:arm64 1.1.0-1
2021-11-17 21:57:58 status half-configured libglvnd0:arm64 1.1.0-1
2021-11-17 21:57:58 status installed libglvnd0:arm64 1.1.0-1
2021-11-17 21:57:58 configure libestr0:arm64 0.1.10-2.1 <none>
2021-11-17 21:57:58 status unpacked libestr0:arm64 0.1.10-2.1
2021-11-17 21:57:58 status half-configured libestr0:arm64 0.1.10-2.1
2021-11-17 21:57:58 status installed libestr0:arm64 0.1.10-2.1
2021-11-17 21:57:58 configure libi2c0:arm64 4.1-1 <none>
2021-11-17 21:57:58 status unpacked libi2c0:arm64 4.1-1
2021-11-17 21:57:58 status half-configured libi2c0:arm64 4.1-1
2021-11-17 21:57:58 status installed libi2c0:arm64 4.1-1
2021-11-17 21:57:58 configure libfastjson4:arm64 0.99.8-2 <none>
2021-11-17 21:57:58 status unpacked libfastjson4:arm64 0.99.8-2
2021-11-17 21:57:58 status half-configured libfastjson4:arm64 0.99.8-2
2021-11-17 21:57:58 status installed libfastjson4:arm64 0.99.8-2
2021-11-17 21:57:58 configure libtdb1:arm64 1.3.16-2+b1 <none>
2021-11-17 21:57:58 status unpacked libtdb1:arm64 1.3.16-2+b1
2021-11-17 21:57:58 status half-configured libtdb1:arm64 1.3.16-2+b1
2021-11-17 21:57:58 status installed libtdb1:arm64 1.3.16-2+b1
2021-11-17 21:57:58 configure libargon2-1:arm64 0~20171227-0.2 <none>
2021-11-17 21:57:58 status unpacked libargon2-1:arm64 0~20171227-0.2
2021-11-17 21:57:58 status half-configured libargon2-1:arm64 0~20171227-0.2
2021-11-17 21:57:58 status installed libargon2-1:arm64 0~20171227-0.2
2021-11-17 21:57:58 configure uboot-imx:arm64 5-3 <none>
2021-11-17 21:57:58 status unpacked uboot-imx:arm64 5-3
2021-11-17 21:57:58 status half-configured uboot-imx:arm64 5-3
2021-11-17 21:58:00 status installed uboot-imx:arm64 5-3
2021-11-17 21:58:00 configure libaom0:arm64 1.0.0-3 <none>
2021-11-17 21:58:00 status unpacked libaom0:arm64 1.0.0-3
2021-11-17 21:58:00 status half-configured libaom0:arm64 1.0.0-3
2021-11-17 21:58:01 status installed libaom0:arm64 1.0.0-3
2021-11-17 21:58:01 configure libfstrm0:arm64 0.4.0-1 <none>
2021-11-17 21:58:01 status unpacked libfstrm0:arm64 0.4.0-1
2021-11-17 21:58:01 status half-configured libfstrm0:arm64 0.4.0-1
2021-11-17 21:58:01 status installed libfstrm0:arm64 0.4.0-1
2021-11-17 21:58:01 configure libc-bin:arm64 2.28-10 <none>
2021-11-17 21:58:01 status unpacked libc-bin:arm64 2.28-10
2021-11-17 21:58:01 status half-configured libc-bin:arm64 2.28-10
2021-11-17 21:58:01 status installed libc-bin:arm64 2.28-10
2021-11-17 21:58:01 configure libsqlite3-0:arm64 3.27.2-3+deb10u1 <none>
2021-11-17 21:58:01 status triggers-pending libc-bin:arm64 2.28-10
2021-11-17 21:58:01 status unpacked libsqlite3-0:arm64 3.27.2-3+deb10u1
2021-11-17 21:58:01 status half-configured libsqlite3-0:arm64 3.27.2-3+deb10u1
2021-11-17 21:58:01 status installed libsqlite3-0:arm64 3.27.2-3+deb10u1
2021-11-17 21:58:01 configure libgdk-pixbuf2.0-common:all 2.38.1+dfsg-1 <none>
2021-11-17 21:58:01 status unpacked libgdk-pixbuf2.0-common:all 2.38.1+dfsg-1
2021-11-17 21:58:01 status half-configured libgdk-pixbuf2.0-common:all 2.38.1+dfsg-1
2021-11-17 21:58:01 status installed libgdk-pixbuf2.0-common:all 2.38.1+dfsg-1
2021-11-17 21:58:01 configure libcodec2-0.8.1:arm64 0.8.1-2 <none>
2021-11-17 21:58:01 status unpacked libcodec2-0.8.1:arm64 0.8.1-2
2021-11-17 21:58:01 status half-configured libcodec2-0.8.1:arm64 0.8.1-2
2021-11-17 21:58:01 status installed libcodec2-0.8.1:arm64 0.8.1-2
2021-11-17 21:58:01 configure libdvdread4:arm64 6.0.1-1 <none>
2021-11-17 21:58:01 status unpacked libdvdread4:arm64 6.0.1-1
2021-11-17 21:58:01 status half-configured libdvdread4:arm64 6.0.1-1
2021-11-17 21:58:01 status installed libdvdread4:arm64 6.0.1-1
2021-11-17 21:58:01 configure firmware-atheros:all 20190114-2 <none>
2021-11-17 21:58:01 status unpacked firmware-atheros:all 20190114-2
2021-11-17 21:58:01 status half-configured firmware-atheros:all 20190114-2
2021-11-17 21:58:01 status installed firmware-atheros:all 20190114-2
2021-11-17 21:58:01 configure binutils-common:arm64 2.31.1-16 <none>
2021-11-17 21:58:01 status unpacked binutils-common:arm64 2.31.1-16
2021-11-17 21:58:01 status half-configured binutils-common:arm64 2.31.1-16
2021-11-17 21:58:01 status installed binutils-common:arm64 2.31.1-16
2021-11-17 21:58:01 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2021-11-17 21:58:01 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-11-17 21:58:01 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2021-11-17 21:58:02 status installed debian-archive-keyring:all 2019.1+deb10u1
2021-11-17 21:58:02 configure x11-common:all 1:7.7+19 <none>
2021-11-17 21:58:02 status unpacked x11-common:all 1:7.7+19
2021-11-17 21:58:02 status half-configured x11-common:all 1:7.7+19
2021-11-17 21:58:04 status installed x11-common:all 1:7.7+19
2021-11-17 21:58:04 configure libsensors-config:all 1:3.5.0-3 <none>
2021-11-17 21:58:04 status unpacked libsensors-config:all 1:3.5.0-3
2021-11-17 21:58:04 status half-configured libsensors-config:all 1:3.5.0-3
2021-11-17 21:58:04 status installed libsensors-config:all 1:3.5.0-3
2021-11-17 21:58:04 configure libnghttp2-14:arm64 1.36.0-2+deb10u1 <none>
2021-11-17 21:58:04 status unpacked libnghttp2-14:arm64 1.36.0-2+deb10u1
2021-11-17 21:58:04 status half-configured libnghttp2-14:arm64 1.36.0-2+deb10u1
